normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,color_ratio
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\SANDxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6283405252674089
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\SANDxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7203780525981577
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\SANDxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6160531308653013
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\SANDxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.5780352704930187
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\SANDxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.5613308019265612
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\SANDxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6829768304020575
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\SANDxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6390763512486735
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\PlantsxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7764785574762934
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\PlantsxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6821280356733113
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\PLANTSxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.8828781988500815
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\PLANTSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7610056421588385
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\PLANTSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7436551047748333
