,normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,GLCM_angle,GLCM_dist,GLCM_mean,GLCM_variance,GLCM_correlation,GLCM_contrast,GLCM_dissimilarity,GLCM_homogeneity,GLCM_ASM,GLCM_energy,GLCM_max_proba,GLCM_entropy
23,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,135.0,4.0,45.71533203125,33190.90880179222,0.7375512144902102,4316.986924566089,25.155563417890512,0.12799703531074555,0.00025759340602779664,0.01604971669618491,3296.0,8.791852682235984
24,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,0.0,2.0,45.745849609375,27542.648359218067,0.7716825833086544,3116.0083612408275,19.150580720480324,0.17069274412489566,0.0002160859140694642,0.014699861022113923,4192.0,8.959116462876556
25,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,45.0,2.0,45.669586181640625,17956.032031548708,0.6628787488360515,4600.398660943093,28.087132918721732,0.1238425730072075,0.00014662276603216373,0.01210878879294555,3074.0,9.350658601735816
26,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,90.0,2.0,45.669586181640625,18386.883807671755,0.6674888715568731,4537.488155370431,27.69123508771461,0.12659745281831156,0.00014977482115751336,0.01223825237350143,3284.0,9.335611637779776
27,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,135.0,2.0,45.745849609375,27542.648359218067,0.7716825833086535,3116.008361240826,19.150580720480328,0.17069274412489552,0.00021608591406946416,0.014699861022113922,4192.0,8.959116462876542
28,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,0.0,4.0,45.71533203125,14421.464801549911,0.6279440655487755,5077.460673564751,31.40225500667557,0.10660332021978171,0.00012055328912069671,0.010979676184692184,2665.0,9.514994386261632
29,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,45.0,4.0,45.608612060546875,12097.874586483475,0.5653192564173194,5931.229812519618,36.56242409684022,0.09192677985875712,0.00010400206060006876,0.010198140055915527,2106.0,9.662682651129636
30,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,90.0,4.0,45.5628662109375,10200.561416485265,0.5113810862037214,6666.957545994518,41.267005312778785,0.08144719974013473,9.023475537533631e-05,0.009499197617448345,2027.0,9.803591996842053
31,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,135.0,4.0,45.71533203125,14421.464801549911,0.6279440655487744,5077.460673564752,31.40225500667555,0.10660332021978167,0.00012055328912069665,0.01097967618469218,2665.0,9.514994386261561
32,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/BOULDERxSAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6174defWB.jpg,0.0,2.0,45.745849609375,34212.99619854946,0.8662636419517704,1303.2258755837224,10.837981654436291,0.2384888939112135,0.00026472273221062205,0.016270302154865534,8958.0,8.88447792212633
33,False,False,DARTER,GRAY,,,/home/durrmeyer/Images/StyleTransferImages/HABITAT_images/BOULDERxSAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6174defWB.jpg,45.0,2.0,45.669586181640625,25328.753589165488,0.8473970087907077,1486.03380351901,12.366322508304371,0.19659928436738175,0.0002005606306559974,0.01416194303956902,7244.0,9.068143885482593
