,normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,sample_idx_F,slope_sample_F,window_size_F,freq_range_Min_F,freq_range_Max_F
77,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/PLANTSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3.png,2.0,-3.8578205843839215,512.0,10.0,110.0
78,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/PLANTSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3.png,3.0,-3.784249082854037,512.0,10.0,110.0
79,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/PLANTSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3.png,4.0,-3.710726020301329,512.0,10.0,110.0
80,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,0.0,-3.705116580490708,512.0,10.0,110.0
81,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,1.0,-3.303554491881628,512.0,10.0,110.0
82,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,2.0,-3.3906959086841653,512.0,10.0,110.0
83,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,3.0,-3.2238270389936434,512.0,10.0,110.0
84,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,4.0,-3.476301319423474,512.0,10.0,110.0
85,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/DETRITUSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,0.0,-3.314939728093174,512.0,10.0,110.0
86,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/DETRITUSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,1.0,-3.3152556659354344,512.0,10.0,110.0
87,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/DETRITUSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,2.0,-3.162292803917247,512.0,10.0,110.0
88,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/DETRITUSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,3.0,-3.054941374995908,512.0,10.0,110.0
89,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/DETRITUSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3.png,4.0,-3.010191460855166,512.0,10.0,110.0
90,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,0.0,-3.6199709448784225,512.0,10.0,110.0
91,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,1.0,-3.5444368381691773,512.0,10.0,110.0
92,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,2.0,-3.5369763217518853,512.0,10.0,110.0
93,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,3.0,-3.3634831888758034,512.0,10.0,110.0
94,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,4.0,-3.4199219822690368,512.0,10.0,110.0
95,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,0.0,-4.128456365225095,512.0,10.0,110.0
96,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,1.0,-3.539598154773532,512.0,10.0,110.0
97,False,False,DARTER,GRAY,512.0,1536.0,/home/durrmeyer/Images/StyleTransferImages/All_layers/BOULDERxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3.png,2.0,-3.5412888191483254,512.0,10.0,110.0
